date,mailing_tag_no,header,content,subject
Sun Nov 13 2011,20111113150005-003936,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""President Hogan and VP-Chancellor Wise"" <chancellor@illinois.edu>

Reply-To: chancellor@illinois.edu
 Subject: MASSMAIL - Message to members of the Illinois family","Members of the University of Illinois at Urbana-Champaign family:

Early this morning three people were shot at a private house party near 
campus. We write now to share with you what we know of this incident and 
to assure you that counselors are available to help you cope with any 
anxiety it has created.

The details of the incident are still unfolding and a rigorous 
investigation is under way, but we do know that police quickly determined 
the shooting stemmed from a conflict at the party. 

The extent of the three victims' injuries has not been released. We do 
know that one of the victims is a student at the University of Illinois 
at Urbana-Champaign -- senior football student-athlete Trulon Henry, a 
two-year starter for the Fighting Illini. He was shot in the hand and 
underwent surgery. He will miss the remainder of the regular season, and 
his status for a possible bowl appearance is unknown.
 
Henry, who was not originally at the party, was called by a teammate to 
go to the location to help encourage the players at the party to leave. 
Henry was one of three people shot. 

Officers from Urbana, the University of Illinois, Champaign and Champaign 
County responded to the scene. Because the incident happened within the 
jurisdiction of the Urbana police, that agency is leading the response 
and investigation. U. of I. police are assisting. The investigation 
includes interviewing witnesses, gathering evidence at the scene and 
continuing to search for the suspect, who is described as a black man, 
younger than 30 years old, with dreadlocks and wearing a dark coat. He 
was last seen leaving the scene in a silver Dodge Charger with black 
racing stripes.

We urge any witnesses to come forward and cooperation with authorities. 

U. of I. police said there was never any threat to students elsewhere on 
campus, but as soon as the police were able to confer with Urbana 
officers and confirm the appropriate information to be released, they 
sent an Illini-Alert to the campus. Additionally, Student Affairs staff 
members called sorority and fraternity houses in the area to alert them. 
Our own police department is working closely with the Urbana Police 
Department and has stepped up its patrols in the area and on the campus.


We want to emphasize that counselors also are ready to assist students, 
faculty, and staff.  If students or student groups need immediate 
counseling assistance, they should call the Emergency Dean at 217-333-
0050. As always, counseling services are available to students by calling 
217-333-3704, Monday through Friday, 8 a.m. to 5 p.m. The number for 
faculty and staff to call for counseling is 217-244-5312.

Incidents like this have a profound effect on all of us.  They can cause 
anxiety and concern.  Some people may feel the stress more deeply than 
others.  Please look out for those around you.  Students, friends, and 
colleagues may be particularly sensitive.  Small acts of kindness can 
help them and can strengthen our community. 
 
We appreciate the concern, empathy, and assistance that all of you in the 
University of Illinois community offer at a time like this. 
 
Sincerely,
 
Mike                       Phyllis
 
Michael J. Hogan           Phyllis M. Wise
President                  Vice President & Chancellor


",Message to members of the Illinois family
Sun Nov 13 2011,20111113112742-008968,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Chief of Police Barbara O'Connor"" <dpscomments@illinois.edu>

Reply-To: dps-mail@illinois.edu
 Subject: CRIME ALERT","INCIDENT:   Shooting Near Campus
 
OCCURRED:   November 13, 2011 at approximately 3:25 AM  

LOCATION:   1004 South Lincoln Avenue, Urbana

BRIEF DETAILS:

The Urbana Police Department is investigating a shooting that occurred 
near campus at 1004 South Lincoln Avenue, Urbana.

On November 13, 2011 at approximately 3:25 AM, a shooting occurred near 
campus during a party at 1004 South Lincoln Avenue in Urbana.  An 
altercation developed between attendees and the offender fired several 
shots into the crowd, which was estimated at more than 100 people. Three 
people were shot and transported to the hospital.  One of the victims is 
a University of Illinois student.  

At this time, the Urbana Police have determined that the shooting was an 
isolated incident that occurred as a result of an argument between 
individuals at the party.

The campus sent an IlliniAlert to the entire campus informing them of the 
incident and alerting them to avoid the area. Additionally, Student 
Affairs staff called every Greek house in the area to alert them. The 
University of Illinois Police Department will provide additional 
information as soon as available. 

OFFENDER DESCRIPTIONS:

The offender is described as a black male, 20s, wearing a dark coat and 
last seen leaving the scene of the shooting in a silver Dodge Charger 
with black racing stripes.

Information about the race or ethnicity of alleged offenders is provided 
only to aid detailed descriptions that include physical stature, clothing 
or unusual characteristics.  Racial descriptions do not by themselves 
offer a meaningful picture of an individual's appearance. 

POLICE RESPONSE:

The Urbana Police Department and University of Illinois Police Department 
continues to actively work to identify and apprehend the offender in this 
incident.  Witnesses to this event or those with information are 
encouraged to contact the Urbana Police Department at 217-384-2320. 
University Police have assigned additional patrols in the area for the 
immediate future.

SAFETY INFORMATION:

Members of the campus community are strongly encouraged to follow these 
safety tips to decrease their potential for becoming a victim:

-Stay alert - call the police immediately to report suspicious activity 
and/or if this subject is observed.

-Trust your instincts - if it does not feel right, call for help.

-Avoid walking alone at night. Travel in groups when possible and always 
walk in well-lit, heavily traveled areas. 

-Turn down your electronic devices. Excessive volume or use of electronic 
devices (iPods, PDAs, cell phones, etc.) can distract you from potential 
safety hazards.

-If you choose to consume alcohol, please drink moderately - remember 
your ability to respond is diminished by over-consumption of alcohol.

ADDITIONAL INFORMATION:

The University of Illinois, Champaign and Urbana Police Departments are 
collaborating to provide CrimeReports, a national crime mapping service, 
with up-to-date crime information. This map includes Clery crimes 
(homicide, sexual assault, robbery, aggravated assault, burglary, arson 
and motor vehicle theft), as well as other crimes that are of concern to 
community members.

You can access the campus district crime map and sign up for daily, 
weekly, or monthly email alerts at www.CrimeReports.com. Access to the 
crime map is available 24 hours a day through the website or through a 
CrimeReports iPhone application, available for free download in the Apple 
iTunes store.

Information also can be shared anonymously through Crimestoppers by 
calling 217-373-TIPS or online at: 
http://www.champaigncountycrimestoppers.com/

Crimes in progress, reporting of suspicious individuals or any event 
requiring a police response should be reported to our regional dispatch 
center by calling 9-1-1.

Crime prevention information can be found on the University of Illinois 
Division of Public Safety website at 
http://www.publicsafety.illinois.edu/universitypolice/campussafety.html

Updates to crime alerts can also be found at 
http://www.publicsafety.illinois.edu

Information regarding our commitment to continually enhance campus safety 
can be found at 
http://www.publicsafety.illinois.edu/universitypolice/enhance.html

Barbara R. O'Connor, J.D.
Executive Director of Public Safety
Chief of Police
University of Illinois at Urbana-Champaign 
http://www.publicsafety.illinois.edu
",CRIME ALERT
Thu Nov 10 2011,20111110155335-007500,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""President Michael Hogan"" <presmike@uillinois.edu>

Reply-To: presmike@uillinois.edu
 Subject: MASSMAIL - Procurement legislation","Dear Faculty and Staff,

I'm pleased to share with you some very good news from Springfield.

During the veto session, the General Assembly passed legislation that 
will address a substantial number of challenges we've been confronting in 
the area of procurement. Library purchases and entertainment (including 
sporting event) contracts will be exempted from the very difficult and 
costly state procurement processes we've been experiencing in the past 
couple of years. In addition, procurement requirements related to our 
research and healthcare enterprises will be afforded improved 
opportunities for waivers under the new legislation.

We're grateful to our legislators for working closely with us to obtain 
these accommodations. In particular, House Speaker Michael Madigan and I 
worked closely with our staffs to develop these important exemptions and 
accommodations. I'm enormously grateful to Speaker Madigan for his 
support of the University of Illinois and recognition of our unique 
situation. I also appreciate the support of House Majority Leader Barbara 
Flynn Currie and Representative Naomi Jakobsson, as well as Senate 
President John Cullerton and Senator Mike Frerichs, who assisted us in 
moving the legislation forward during this brief veto session. Our other 
local legislators have also offered support for our efforts, for which 
we're grateful.

In addition, I want to recognize Kappy Laing and her outstanding 
Governmental Relations staff. They worked closely with me over the last 
several months to make our case to members of the General Assembly on 
this issue and worked especially tirelessly over the last several weeks 
as we worked with our legislators to develop this much-needed legislation.

I know that this has been an issue that has troubled many of us. It has 
cost us time and threatened the effectiveness and success of our 
missions. I'm pleased that we were able to work with our legislators to 
find a fair path ahead that ensured our continued high ethical standards, 
while not impeding the many contributions we make to the State and its 
citizens.

We aren't quite out of the woods yet. Governor Pat Quinn will still need 
to approve the legislation, and I can assure you that we will work with 
the Governor and his staff to convey the value and importance of this 
bill.

Sincerely,
Mike

Michael J. Hogan
President
",Procurement legislation
Fri Nov 11 2011,20111109102513-013608,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""University Student Financial Services"" <usfscohelp@uillinois.edu>

Reply-To: usfscohelp@uillinois.edu
 Subject: MASSMAIL - Spring 2012 Payment Plan Enrollment","Dear Student,

Enrollment for the Spring 2012 Payment Plan is now available.  

Enrollment in the payment plan is optional and is an alternative to the 
regular University payment policy.  Payment plan payments are 
automatically deducted from your checking or savings account 
electronically each month.    For more information regarding eligibility 
requirements and enrollment instructions, visit our payment plan web page 
at: http://paymybill.uillinois.edu/PaymentPlan.html. 

Please disregard this message if you are currently enrolled in the Annual 
2011-2012 Plan.

Please do not reply directly to this email, as this is an outgoing email 
account only.  Send all email correspondence to usfscohelp@uillinois.edu.

Sincerely,

Customer Service
University Student Financial Services and Cashier Operations

UIUC
Room 162 (MC 367)
Henry Administration Building
506 South Wright Street
",Spring 2012 Payment Plan Enrollment
Tue Nov  8 2011,20111108173557-021735,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Chief of Police Barbara O'Connor"" <dpscomments@illinois.edu>

Reply-To: dps-mail@illinois.edu
 Subject: UPDATE ON RECENT CRIME ALERTS","UPDATE ON RECENT CRIME ALERTS

Tuesday, Nov. 08, 2011

Members of the Campus Community,

The University of Illinois Police Department would like to take the 
opportunity to provide some updates regarding recent Crime Alerts sent to 
the campus community. 

HIT & RUN ACCIDENT AT FOURTH AND SPRINGFIELD, CHAMPAIGN 

On Oct. 30, 2011 at 2:17 a.m., Champaign Police responded to the 
intersection of Fourth and Springfield to a hit-and-run accident where 
two University of Illinois students in the crosswalk were struck by a 
white 4-door passenger vehicle.  Neither the hit-and-run driver nor 
vehicle has been located. 
    
The families of the two students are offering a $5000 reward for 
information leading to the conviction of the driver. 

This investigation is continuing, and the Champaign Police Department is 
asking for assistance from the public.  Anyone with information can 
contact the Champaign Police Department at 217-351-4545, the University 
of Illinois Police Department at 217-333-1216, or anonymously call Crime 
Stoppers at 217-373-TIPS (8477).  An anonymous web tip can be given at 
www.373tips.com or text keyword CCTIP plus the tip information to: 274637 
(CRIMES). Crime Stoppers will pay a reward up to $1,000 for information 
leading to the arrest of the driver of this vehicle. 


MULTIPLE BURGLARIES AT WESTON HALL, 1209 EUCLID STREET, CHAMPAIGN 

The University of Illinois Police Department investigated a series of 
burglaries and attempted burglaries that occurred during the early 
morning hours at Weston Hall on Oct. 23, 2011. 

On Oct. 24, 2011, University of Illinois Police Officers were dispatched 
to investigate an in-progress burglary to a motor vehicle near the area 
of Gregory Avenue and Dorner Drive.  The suspect in the incident 
attempted to flee from University of Illinois Police officers, but was 
apprehended.  Through investigative efforts it was learned that this 
suspect was responsible for the burglaries associated with the Crime 
Alert.  The suspect, later identified as Steven Labana, was a resident at 
Weston Hall.  Labana admitted entering multiple rooms inside Weston Hall 
and taking property that did not belong to him.  Labana was arrested and 
charged with burglary, burglary from a motor vehicle, criminal damage to 
property, resisting a peace officer and possession of drug 
paraphernalia.  

As a reminder, it is very important for faculty, staff and students to 
secure their personal belongings and lock their doors as most burglaries 
that occur on campus are crimes of opportunity and easily preventable.


AGGRAVATED ROBBERY AT 602 EAST DANIEL STREET, CHAMPAIGN 

The Champaign Police and University of Illinois Police Departments 
continue to investigate an aggravated robbery that occurred in front of 
The Espresso Royale located at 602 E. Daniel Street, Champaign. 
Through an ongoing investigation, the Champaign Police Department 
obtained a warrant on Oct. 27 for the arrest of Dennis H. Boston IV, 19, 
who listed an address in the 500 block of East Daniel Street, Champaign.  
Boston was arraigned on Nov. 3 in Champaign County Circuit Court for 
armed robbery and aggravated robbery and is currently being held on 
$125,000 bond.   The second offender, who displayed a handgun, has not 
been apprehended. 

In a continuing effort to apprehend the second offender, we encourage the 
campus community to review the security camera footage that captured the 
incident.  The security camera images may be viewed by visiting 
http://youtu.be/G0-9pIMdP6Q 

This investigation is continuing, and the Champaign Police Department is 
still asking for assistance from the public to identify the second 
offender.  Anyone with information can contact the Champaign Police 
Department at 217-351-4545, the University Of Illinois Police Department 
at 217-333-1216, or anonymously call Crime Stoppers at 217-373-TIPS 
(8477).  An anonymous web tip can be given at www.373tips.com or text 
keyword CCTIP plus the tip information to: 274637 (CRIMES). Crime 
Stoppers will pay a reward up to $1,000 for information leading to the 
arrest of the second offender. 


ADDITIONAL NEWS AND NOTES

The University of Illinois has been awarded a United States Department of 
Justice 2011 COPS Hiring Program Grant.  The three-year grant, with an 
award of $616,000, will allow the University of Illinois Police 
Department to increase staffing by three officers.  The grant will allow 
the police department to provide the University of Illinois community 
with greater educational and problem solving opportunities by adding 
police officer positions for two full-time crime prevention specialists 
and one full-time crime analyst.  The University of Illinois Police 
Department is one of 238 agencies nationwide to receive an award through 
this competitive grant opportunity.

The goal of the University's grant is to increase the problem solving 
capabilities of the police department and community members.  The police 
department will collaborate with various campus and community partners to 
address issues surrounding sexual assault, alcohol abuse and the 
incidence of crimes such as robbery and aggravated battery.  

As an added safety measure for the winter months, the University of 
Illinois Police Department has extended the hours of its SafeWalks 
program.  SafeWalks is a courtesy service provided to University of 
Illinois students, faculty, or staff so they do not have to walk alone 
within the campus district.  Individuals who are interested in a SafeWalk 
should contact the University of Illinois Police Student Patrol at 217-
333-1216 or press an emergency phone button and wait for a dispatcher 
during their expanded operating hours (7 p.m. to 2 a.m. Sunday through 
Wednesday and 7 p.m. to 3 a.m. Thursday through Saturday).  Please allow 
at least 20 minutes notice for a SafeWalk. 

This update is sent to our campus community as we continue to work 
together in fostering a safe campus environment.  

Barbara R. O'Connor, J.D.
Executive Director of Public Safety
Chief of Police
University of Illinois at Urbana-Champaign 
http://www.publicsafety.illinois.edu



",UPDATE ON RECENT CRIME ALERTS
Tue Nov  8 2011,20111107144118-029361,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Melisande Loeppert"" <loepper1@law.illinois.edu>

Reply-To: loepper1@law.illinois.edu
 Subject: MASSMAIL - Referendum","A referendum is before the student body regarding smoking on campus.

Voting will take place electronically on Tuesday, November 8, 2011 and 
Wednesday, November 9, 2011, starting at 12:00AM Tuesday and ending at 
11:59PM Wednesday.

Click here to view the proposal and vote:
vote.illinois.edu

This vote affects all students, therefore, you are encouraged to vote.

Thank you,
The Campus Student Election Commission
",Referendum
Tue Nov  8 2011,20111107110401-002032,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Jim Maskeri"" <senate@illinois.edu>

Reply-To: senate@illinois.edu
 Subject: MASSMAIL - Student suggestions for Provost Search Committee","Dear Students,
 
Chancellor Phyllis Wise has asked the Senate to develop a slate of 
nominees for the selection of a new Provost and Vice Chancellor for 
Academic Affairs. According to procedures approved by the Senate, a 
Provost Search Committee will consist of 11 members: 8 faculty (5 elected 
by the Senate, 3 appointed by the Chancellor), 2 students (1 elected by 
the Senate, 1 appointed by the Chancellor), and 1 academic professional 
appointed by the Chancellor. One or more of the faculty appointees may 
have administrative appointments. The Chancellor will appoint a chair 
from among the 8 faculty members. This composition of the Search 
Committee is identical to recent provost searches.
 
To begin the process of selecting the members of the Search Committee who 
are to be elected by the Senate, we are requesting 
nominations/applications from the students for the search committee. The 
Committee on Committees will then present 2 to 4 names to the Senate, 
which will vote on the slate at the December 5 Senate meeting. The 
student receiving the highest numbers of votes shall be elected and will 
be sent to the Chancellor.
 
In order to give the Committee on Committees time to act before the 
Senate agenda is published, we request that applications be submitted 
before 5 PM on November 11 through the following link:

https://illinois.edu/fb/sec/2620653
 
Thank you!
Jim Maskeri
Senate Committee on Committees
c/o Senate Office",Student suggestions for Provost Search Committee
Tue Nov  8 2011,20111107105712-029200,"      To: All Faculty <everybody@illinois.edu> 
    From: ""Bettina Francis"" <senate@illinois.edu>
Reply-To: senate@illinois.edu

 Subject: MASSMAIL - Faculty suggestions for Provost Search Committee","Dear Colleagues,

Chancellor Phyllis Wise has asked the Senate to develop a slate of 
nominees for the selection of a new Provost and Vice Chancellor for 
Academic Affairs. According to procedures approved by the Senate, a 
Provost Search Committee will consist of 11 members: 8 faculty (5 elected 
by the Senate, 3 appointed by the Chancellor), 2 students (1 elected by 
the Senate, 1 appointed by the Chancellor), and 1 academic professional 
appointed by the Chancellor. One or more of the faculty appointees may 
have administrative appointments. The Chancellor will appoint a chair 
from among the 8 faculty members. This composition of the Search 
Committee is identical to recent provost searches.

To begin the process of selecting the members of the Search Committee who 
are to be elected by the Senate, we are requesting nominations from the 
faculty for the search committee. The Committee on Committees will then 
present 10 to 12 names to the Senate, which will vote on the slate at the 
December 5 Senate meeting. The 5 faculty receiving the highest numbers of 
votes shall be elected and their names will be sent to the Chancellor.

In order to give the Committee on Committees time to act before the 
Senate agenda is published, we request that names and a short bio be sent 
to the Senate Office via campus mail, e-mail [senate@illinois.edu] or 
hand delivery, before 5 PM on November 11.

Regards,
Bettina Francis
Chair, Senate committee on Committees
c/o Senate Office",Faculty suggestions for Provost Search Committee
Fri Nov  4 2011,20111104172436-003936,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Lieutenant Todd Short"" <dpscomments@illinois.edu>

Reply-To: dps-mail@illinois.edu
 Subject: ANNUAL TEST OF EMERGENCY RESPONSE/EVACUATION PLANS","Members of the Campus Community,

The University of Illinois at Urbana-Champaign recently completed a test 
of our emergency response and evacuation plans. The test included two 
components: a drill and an exercise. The drill (a test of our Illini-
Alert emergency notification system), was conducted on October 18, 2011 
at 10:00 am.  This drill was announced via a campus mass mail and Eweek 
notice.  The Illini-Alert system sent an email to the Illinois.edu 
addresses of all active faculty, staff, and students.  Those who have 
registered alternate email addresses also received an email 
notification.  Those who have registered a cell phone were sent a text 
message during this drill. 

In an attempt to increase the speed and breadth of emergency 
communications, the campus recently increased Illini-Alerts modes of 
emergency communication to include Facebook and Twitter.  This multi-
modal approach provides a robust communication engine that will continue 
to function successfully even if there is a failure of one mode of 
communication.
 
If you have not signed up to receive emergency messages through Illini-
Alert, please visit emergency.illinois.edu to register.   

The second component of the test was a tabletop exercise conducted on 
October 26, 2011 from 9:00 am to 12:00 pm at the Champaign County 
Emergency Operations Center.  The exercise was announced via a campus 
mass mail and Eweek notice.  The tabletop exercise involved multiple bomb 
threats including one device that detonated in a campus building.  The 
exercise scenario tested various components of the Campus Emergency 
Operations Plan, including evacuation procedures. 
 
Summary of Emergency Response Plan

The University Campus Emergency Operations Plan includes information 
regarding the roles and responsibilities of those operating in the campus 
Incident Command Post and Emergency Operation Center; operating status 
parameters; incident priorities and performance expectations; shelter-in-
place and evacuation guidelines; and local contingency and continuity 
planning requirements.  University departments are responsible for 
developing their own emergency action plans and continuity of operations 
plans for their staff and areas of responsibility.  The University 
conducts numerous emergency response exercises each year, such as 
tabletop exercises and tests of the emergency notification systems on 
campus.  These tests are designed to assess and evaluate emergency plans 
and capabilities of the institution. 

University of Illinois police officers and supervisors have received 
training on the National Incident Management System which includes use of 
the Incident Command System.  This federally mandated training is 
designed to assist first responders in responding to and managing 
critical incidents.  If a serious incident occurs that causes an 
immediate threat to campus, personnel from the University of Illinois 
Police Department, Urbana Police Department, Champaign Police Department, 
Urbana Fire Department, Champaign Fire Department, PRO Ambulance and 
ARROW Ambulance will usually be the first on scene.  Personnel from these 
agencies typically respond and work together to manage a critical 
incident.   Depending on the size, scope and seriousness of the incident, 
other University departments and/or other local or federal agencies could 
also be involved in the response.  

General information about the emergency response and evacuation 
procedures for the University of Illinois at Urbana-Champaign are 
publicized each year as part of our Clery Act compliance 
efforts.  The University of Illinois at Urbana-Champaign Annual 
Security Report can be viewed at 
http://www.dps.illinois.edu/universitypolice/asr2010.pdf.  Additional 
information, including a copy of the Campus Emergency Operations Basic 
Plan, can be found at 
http://www.police.illinois.edu/emergencyplanning/ceop.html. 
 
Summary of Emergency Evacuation Procedures

Evacuation drills are coordinated by University Housing, Code Compliance 
and Fire Safety and local fire departments each semester for all 
University Residence Halls to ensure that emergency response and 
evacuation procedures are tested at least twice each year.  Students 
living in University Residence Halls learn the locations of emergency 
exits in the buildings and are provided guidance about the direction they 
should travel when exiting each facility for a short-term building 
evacuation.  Residents are not told in advance about the designated 
locations for long-term evacuations because those decisions are affected 
by time of day, location of the building being evacuated, the 
availability of the various designated emergency gathering locations on 
campus, and other factors such as the location and nature of the threat.  
In these cases, University Housing staff and/or first responders on scene 
will communicate information to students regarding the developing 
situation or any evacuation status changes.
 
The purpose of evacuation drills is to prepare building occupants for an 
organized evacuation in case of a fire or other emergency. At the 
University of Illinois at Urbana-Champaign, evacuation drills are used as 
a way to educate and train occupants on fire safety issues specific to 
their building.  Prior to conducting drills, University Housing residents 
are provided a brochure with emergency evacuation information.  
Additionally, evacuation routes are posted on the doors of resident hall 
rooms.  During drills, occupants practice procedures and familiarize 
themselves with the location of exits and the sound of the fire alarms.  
In addition to educating occupants about the evacuation procedures during 
the drills, the process also provides the University an opportunity to 
test the operation of fire alarm system components.

Evacuation drills are evaluated by University Housing staff, Code 
Compliance and Fire Safety and local fire departments to review egress 
and behavioral patterns.  Reports are prepared by participating 
departments that identify deficient equipment so that repairs can be made 
immediately.  Recommendations for improvements are also submitted to the 
appropriate departments/offices for consideration.

Students who reside in University Residence Halls receive information 
about evacuation and shelter-in-place procedures during their first floor 
meetings and during other educational sessions they can participate in 
throughout the year.  University Housing staff members are trained in 
these procedures as well and act as an on-going resource for the students 
living in residential facilities.

Shelter-in-Place Procedures 
What it Means to Shelter-in-Place

There may be emergencies that arise that do not afford individuals the 
opportunity to safety evacuate.  During these types of emergency 
situations, sheltering-in-place may be necessary.  Sheltering-in-place 
means to stay inside a known, safe area to avoid adverse conditions in an 
exterior environment.  Examples of emergencies where the shelter-in-place 
option may be necessary and/or preferred include severe weather (tornado) 
or an active shooter situation.  This may also include a fire emergency 
for persons with disabilities that are not able to leave the building on 
their own or if the elevator is recalled during a fire.

Basic Shelter-in-Place Guidance

If an incident occurs that does not present a safe opportunity to 
evacuate, find an immediate place of safety and stay there until it is 
safe to come out.  This may include locking the door(s) or barricading 
the ingress/egress point(s) of the area you are occupying.  It may also 
include covering the windows to decrease visibility of the occupied 
area.  

If an incident occurs where a shelter-in-place option is not possible, 
leave the area immediately following the evacuation procedures for your 
building.  Follow the directions of police and/or fire personnel if they 
are on scene of the incident.

How You Will Know to Shelter-in-Place

A shelter-in-place notification may come from several sources, including 
the University of Illinois Police Department (via the Illini-Alert 
emergency notification system), the Office of Public Affairs, other 
University employees, or other authorities utilizing the University?s 
emergency communications tools.

How to Shelter in-Place

If an incident occurs where sheltering-in-place is the best option, 
follow these steps, unless instructed otherwise by emergency personnel:

These steps should only be followed if safe to do so:

-Once aware of the emergency, seek or remain in a location deemed safe 
from the affected area.

-Once within a safe area, attempt to secure the space in whatever 
reasonable manner is applicable.

-Stay in the area of safety and remain quiet, unless making noise would 
be beneficial to your safety (i.e. rescue or recovery).

-Stay away from objects which may lead to an injury.

-Do not leave the area of safety until you are notified that the 
emergency is no longer a threat to personal safety.

The Division of Public Safety hopes this information is useful to all 
those who work, study and visit our campus community.  Best wishes for a 
safe and productive year.

Lieutenant Todd Short
University of Illinois Police Department
Office of Campus Emergency Planning
",ANNUAL TEST OF EMERGENCY RESPONSE/EVACUATION PLANS
Tue Nov  8 2011,20111103105336-025750,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""Office of the Chancellor"" <chancellor@illinois.edu>

Reply-To: chancellor@illinois.edu
 Subject: MASSMAIL - Campus Charitable Fund Drive","My Dear Colleagues:

The last day of the 2011 Campus Charitable Fund Drive is Friday, November 
11. As the deadline approaches I encourage you to please consider 
strengthening our community by making a new pledge or increasing your 
pledge from last year. I have found it very easy to participate. Go to 
www.ccfd.illinois.edu and follow the easy steps. For more assistance, or to 
learn about where your money can really make an impact, please contact your 
unit leader.

I want to thank all of you who have contributed to the many wonderful 
nonprofit agencies we are blessed to have in the area, as well as our 
dynamic Chair, Nick Glumac, the entire CCFD Advisory Board, and the campus 
unit leaders.

Time and time again I have witnessed how a small act of generosity by one 
person can effect a big change in the lives of many. What we do really 
matters.

With gratitude,

Phyllis M. Wise
Vice President, University of Illinois
Chancellor, University of Illinois at Urbana-Champaign 
",Campus Charitable Fund Drive
