mailing_tag_no,content,subject,day,year,month,day_of_week
20111113150005-003936,members of the university of illinois at urbanachampaign family early this morning three people were shot at a private house party near campus we write now to share with you what we know of this incident and to assure you that counselors are available to help you cope with any anxiety it has created the details of the incident are still unfolding and a rigorous investigation is under way but we do know that police quickly determined the shooting stemmed from a conflict at the party the extent of the three victims injuries has not been released we do know that one of the victims is a student at the university of illinois at urbanachampaign senior football studentathlete trulon henry a twoyear starter for the fighting illini he was shot in the hand and underwent surgery he will miss the remainder of the regular season and his status for a possible bowl appearance is unknown henry who was not originally at the party was called by a teammate to go to the location to help encourage the players at the party to leave henry was one of three people shot officers from urbana the university of illinois champaign and champaign county responded to the scene because the incident happened within the jurisdiction of the urbana police that agency is leading the response and investigation u of i police are assisting the investigation includes interviewing witnesses gathering evidence at the scene and continuing to search for the suspect who is described as a black man younger than years old with dreadlocks and wearing a dark coat he was last seen leaving the scene in a silver dodge charger with black racing stripes we urge any witnesses to come forward and cooperation with authorities u of i police said there was never any threat to students elsewhere on campus but as soon as the police were able to confer with urbana officers and confirm the appropriate information to be released they sent an illinialert to the campus additionally student affairs staff members called sorority and fraternity houses in the area to alert them our own police department is working closely with the urbana police department and has stepped up its patrols in the area and on the campus we want to emphasize that counselors also are ready to assist students faculty and staff if students or student groups need immediate counseling assistance they should call the emergency dean at as always counseling services are available to students by calling monday through friday am to pm the number for faculty and staff to call for counseling is incidents like this have a profound effect on all of us they can cause anxiety and concern some people may feel the stress more deeply than others please look out for those around you students friends and colleagues may be particularly sensitive small acts of kindness can help them and can strengthen our community we appreciate the concern empathy and assistance that all of you in the university of illinois community offer at a time like this sincerely mike phyllis michael j hogan phyllis m wise president vice president chancellor,message to members of the illinois family,13,2011,Nov,Sunday
20111113112742-008968,incident shooting near campus occurred november at approximately am location south lincoln avenue urbana brief details the urbana police department is investigating a shooting that occurred near campus at south lincoln avenue urbana on november at approximately am a shooting occurred near campus during a party at south lincoln avenue in urbana an altercation developed between attendees and the offender fired several shots into the crowd which was estimated at more than people three people were shot and transported to the hospital one of the victims is a university of illinois student at this time the urbana police have determined that the shooting was an isolated incident that occurred as a result of an argument between individuals at the party the campus sent an illinialert to the entire campus informing them of the incident and alerting them to avoid the area additionally student affairs staff called every greek house in the area to alert them the university of illinois police department will provide additional information as soon as available offender descriptions the offender is described as a black male s wearing a dark coat and last seen leaving the scene of the shooting in a silver dodge charger with black racing stripes information about the race or ethnicity of alleged offenders is provided only to aid detailed descriptions that include physical stature clothing or unusual characteristics racial descriptions do not by themselves offer a meaningful picture of an individuals appearance police response the urbana police department and university of illinois police department continues to actively work to identify and apprehend the offender in this incident witnesses to this event or those with information are encouraged to contact the urbana police department at university police have assigned additional patrols in the area for the immediate future safety information members of the campus community are strongly encouraged to follow these safety tips to decrease their potential for becoming a victim stay alert call the police immediately to report suspicious activity andor if this subject is observed trust your instincts if it does not feel right call for help avoid walking alone at night travel in groups when possible and always walk in welllit heavily traveled areas turn down your electronic devices excessive volume or use of electronic devices ipods pdas cell phones etc can distract you from potential safety hazards if you choose to consume alcohol please drink moderately remember your ability to respond is diminished by overconsumption of alcohol additional information the university of illinois champaign and urbana police departments are collaborating to provide crimereports a national crime mapping service with uptodate crime information this map includes clery crimes homicide sexual assault robbery aggravated assault burglary arson and motor vehicle theft as well as other crimes that are of concern to community members you can access the campus district crime map and sign up for daily weekly or monthly email alerts at access to the crime map is available hours a day through the website or through a crimereports iphone application available for free download in the apple itunes store information also can be shared anonymously through crimestoppers by calling tips or online at crimes in progress reporting of suspicious individuals or any event requiring a police response should be reported to our regional dispatch center by calling crime prevention information can be found on the university of illinois division of public safety website at updates to crime alerts can also be found at information regarding our commitment to continually enhance campus safety can be found at barbara r oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign,crime alert,13,2011,Nov,Sunday
20111110155335-007500,dear faculty and staff im pleased to share with you some very good news from springfield during the veto session the general assembly passed legislation that will address a substantial number of challenges weve been confronting in the area of procurement library purchases and entertainment including sporting event contracts will be exempted from the very difficult and costly state procurement processes weve been experiencing in the past couple of years in addition procurement requirements related to our research and healthcare enterprises will be afforded improved opportunities for waivers under the new legislation were grateful to our legislators for working closely with us to obtain these accommodations in particular house speaker michael madigan and i worked closely with our staffs to develop these important exemptions and accommodations im enormously grateful to speaker madigan for his support of the university of illinois and recognition of our unique situation i also appreciate the support of house majority leader barbara flynn currie and representative naomi jakobsson as well as senate president john cullerton and senator mike frerichs who assisted us in moving the legislation forward during this brief veto session our other local legislators have also offered support for our efforts for which were grateful in addition i want to recognize kappy laing and her outstanding governmental relations staff they worked closely with me over the last several months to make our case to members of the general assembly on this issue and worked especially tirelessly over the last several weeks as we worked with our legislators to develop this muchneeded legislation i know that this has been an issue that has troubled many of us it has cost us time and threatened the effectiveness and success of our missions im pleased that we were able to work with our legislators to find a fair path ahead that ensured our continued high ethical standards while not impeding the many contributions we make to the state and its citizens we arent quite out of the woods yet governor pat quinn will still need to approve the legislation and i can assure you that we will work with the governor and his staff to convey the value and importance of this bill sincerely mike michael j hogan president,procurement legislation,10,2011,Nov,Thursday
20111109102513-013608,dear student enrollment for the spring payment plan is now available enrollment in the payment plan is optional and is an alternative to the regular university payment policy payment plan payments are automatically deducted from your checking or savings account electronically each month for more information regarding eligibility requirements and enrollment instructions visit our payment plan web page at please disregard this message if you are currently enrolled in the annual plan please do not reply directly to this email as this is an outgoing email account only send all email correspondence to usfscohelpuillinoisedu sincerely customer service university student financial services and cashier operations uiuc room mc henry administration building south wright street,spring payment plan enrollment,11,2011,Nov,Friday
20111108173557-021735,update on recent crime alerts tuesday nov members of the campus community the university of illinois police department would like to take the opportunity to provide some updates regarding recent crime alerts sent to the campus community hit run accident at fourth and springfield champaign on oct at am champaign police responded to the intersection of fourth and springfield to a hitandrun accident where two university of illinois students in the crosswalk were struck by a white door passenger vehicle neither the hitandrun driver nor vehicle has been located the families of the two students are offering a reward for information leading to the conviction of the driver this investigation is continuing and the champaign police department is asking for assistance from the public anyone with information can contact the champaign police department at the university of illinois police department at or anonymously call crime stoppers at tips an anonymous web tip can be given at or text keyword cctip plus the tip information to crimes crime stoppers will pay a reward up to for information leading to the arrest of the driver of this vehicle multiple burglaries at weston hall euclid street champaign the university of illinois police department investigated a series of burglaries and attempted burglaries that occurred during the early morning hours at weston hall on oct on oct university of illinois police officers were dispatched to investigate an inprogress burglary to a motor vehicle near the area of gregory avenue and dorner drive the suspect in the incident attempted to flee from university of illinois police officers but was apprehended through investigative efforts it was learned that this suspect was responsible for the burglaries associated with the crime alert the suspect later identified as steven labana was a resident at weston hall labana admitted entering multiple rooms inside weston hall and taking property that did not belong to him labana was arrested and charged with burglary burglary from a motor vehicle criminal damage to property resisting a peace officer and possession of drug paraphernalia as a reminder it is very important for faculty staff and students to secure their personal belongings and lock their doors as most burglaries that occur on campus are crimes of opportunity and easily preventable aggravated robbery at east daniel street champaign the champaign police and university of illinois police departments continue to investigate an aggravated robbery that occurred in front of the espresso royale located at e daniel street champaign through an ongoing investigation the champaign police department obtained a warrant on oct for the arrest of dennis h boston iv who listed an address in the block of east daniel street champaign boston was arraigned on nov in champaign county circuit court for armed robbery and aggravated robbery and is currently being held on bond the second offender who displayed a handgun has not been apprehended in a continuing effort to apprehend the second offender we encourage the campus community to review the security camera footage that captured the incident the security camera images may be viewed by visiting this investigation is continuing and the champaign police department is still asking for assistance from the public to identify the second offender anyone with information can contact the champaign police department at the university of illinois police department at or anonymously call crime stoppers at tips an anonymous web tip can be given at or text keyword cctip plus the tip information to crimes crime stoppers will pay a reward up to for information leading to the arrest of the second offender additional news and notes the university of illinois has been awarded a united states department of justice cops hiring program grant the threeyear grant with an award of will allow the university of illinois police department to increase staffing by three officers the grant will allow the police department to provide the university of illinois community with greater educational and problem solving opportunities by adding police officer positions for two fulltime crime prevention specialists and one fulltime crime analyst the university of illinois police department is one of agencies nationwide to receive an award through this competitive grant opportunity the goal of the universitys grant is to increase the problem solving capabilities of the police department and community members the police department will collaborate with various campus and community partners to address issues surrounding sexual assault alcohol abuse and the incidence of crimes such as robbery and aggravated battery as an added safety measure for the winter months the university of illinois police department has extended the hours of its safewalks program safewalks is a courtesy service provided to university of illinois students faculty or staff so they do not have to walk alone within the campus district individuals who are interested in a safewalk should contact the university of illinois police student patrol at or press an emergency phone button and wait for a dispatcher during their expanded operating hours pm to am sunday through wednesday and pm to am thursday through saturday please allow at least minutes notice for a safewalk this update is sent to our campus community as we continue to work together in fostering a safe campus environment barbara r oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign,update on recent crime alerts,08,2011,Nov,Tuesday
20111107144118-029361,a referendum is before the student body regarding smoking on campus voting will take place electronically on tuesday november and wednesday november starting at am tuesday and ending at pm wednesday click here to view the proposal and vote voteillinoisedu this vote affects all students therefore you are encouraged to vote thank you the campus student election commission,referendum,08,2011,Nov,Tuesday
20111107110401-002032,dear students chancellor phyllis wise has asked the senate to develop a slate of nominees for the selection of a new provost and vice chancellor for academic affairs according to procedures approved by the senate a provost search committee will consist of members faculty elected by the senate appointed by the chancellor students elected by the senate appointed by the chancellor and academic professional appointed by the chancellor one or more of the faculty appointees may have administrative appointments the chancellor will appoint a chair from among the faculty members this composition of the search committee is identical to recent provost searches to begin the process of selecting the members of the search committee who are to be elected by the senate we are requesting nominationsapplications from the students for the search committee the committee on committees will then present to names to the senate which will vote on the slate at the december senate meeting the student receiving the highest numbers of votes shall be elected and will be sent to the chancellor in order to give the committee on committees time to act before the senate agenda is published we request that applications be submitted before pm on november through the following link thank you jim maskeri senate committee on committees co senate office,student suggestions for provost search committee,08,2011,Nov,Tuesday
20111107105712-029200,dear colleagues chancellor phyllis wise has asked the senate to develop a slate of nominees for the selection of a new provost and vice chancellor for academic affairs according to procedures approved by the senate a provost search committee will consist of members faculty elected by the senate appointed by the chancellor students elected by the senate appointed by the chancellor and academic professional appointed by the chancellor one or more of the faculty appointees may have administrative appointments the chancellor will appoint a chair from among the faculty members this composition of the search committee is identical to recent provost searches to begin the process of selecting the members of the search committee who are to be elected by the senate we are requesting nominations from the faculty for the search committee the committee on committees will then present to names to the senate which will vote on the slate at the december senate meeting the faculty receiving the highest numbers of votes shall be elected and their names will be sent to the chancellor in order to give the committee on committees time to act before the senate agenda is published we request that names and a short bio be sent to the senate office via campus mail email senateillinoisedu or hand delivery before pm on november regards bettina francis chair senate committee on committees co senate office,faculty suggestions for provost search committee,08,2011,Nov,Tuesday
20111104172436-003936,members of the campus community the university of illinois at urbanachampaign recently completed a test of our emergency response and evacuation plans the test included two components a drill and an exercise the drill a test of our illini alert emergency notification system was conducted on october at am this drill was announced via a campus mass mail and eweek notice the illinialert system sent an email to the illinoisedu addresses of all active faculty staff and students those who have registered alternate email addresses also received an email notification those who have registered a cell phone were sent a text message during this drill in an attempt to increase the speed and breadth of emergency communications the campus recently increased illinialerts modes of emergency communication to include facebook and twitter this multi modal approach provides a robust communication engine that will continue to function successfully even if there is a failure of one mode of communication if you have not signed up to receive emergency messages through illini alert please visit emergencyillinoisedu to register the second component of the test was a tabletop exercise conducted on october from am to pm at the champaign county emergency operations center the exercise was announced via a campus mass mail and eweek notice the tabletop exercise involved multiple bomb threats including one device that detonated in a campus building the exercise scenario tested various components of the campus emergency operations plan including evacuation procedures summary of emergency response plan the university campus emergency operations plan includes information regarding the roles and responsibilities of those operating in the campus incident command post and emergency operation center operating status parameters incident priorities and performance expectations shelterin place and evacuation guidelines and local contingency and continuity planning requirements university departments are responsible for developing their own emergency action plans and continuity of operations plans for their staff and areas of responsibility the university conducts numerous emergency response exercises each year such as tabletop exercises and tests of the emergency notification systems on campus these tests are designed to assess and evaluate emergency plans and capabilities of the institution university of illinois police officers and supervisors have received training on the national incident management system which includes use of the incident command system this federally mandated training is designed to assist first responders in responding to and managing critical incidents if a serious incident occurs that causes an immediate threat to campus personnel from the university of illinois police department urbana police department champaign police department urbana fire department champaign fire department pro ambulance and arrow ambulance will usually be the first on scene personnel from these agencies typically respond and work together to manage a critical incident depending on the size scope and seriousness of the incident other university departments andor other local or federal agencies could also be involved in the response general information about the emergency response and evacuation procedures for the university of illinois at urbanachampaign are publicized each year as part of our clery act compliance efforts the university of illinois at urbanachampaign annual security report can be viewed at additional information including a copy of the campus emergency operations basic plan can be found at summary of emergency evacuation procedures evacuation drills are coordinated by university housing code compliance and fire safety and local fire departments each semester for all university residence halls to ensure that emergency response and evacuation procedures are tested at least twice each year students living in university residence halls learn the locations of emergency exits in the buildings and are provided guidance about the direction they should travel when exiting each facility for a shortterm building evacuation residents are not told in advance about the designated locations for longterm evacuations because those decisions are affected by time of day location of the building being evacuated the availability of the various designated emergency gathering locations on campus and other factors such as the location and nature of the threat in these cases university housing staff andor first responders on scene will communicate information to students regarding the developing situation or any evacuation status changes the purpose of evacuation drills is to prepare building occupants for an organized evacuation in case of a fire or other emergency at the university of illinois at urbanachampaign evacuation drills are used as a way to educate and train occupants on fire safety issues specific to their building prior to conducting drills university housing residents are provided a brochure with emergency evacuation information additionally evacuation routes are posted on the doors of resident hall rooms during drills occupants practice procedures and familiarize themselves with the location of exits and the sound of the fire alarms in addition to educating occupants about the evacuation procedures during the drills the process also provides the university an opportunity to test the operation of fire alarm system components evacuation drills are evaluated by university housing staff code compliance and fire safety and local fire departments to review egress and behavioral patterns reports are prepared by participating departments that identify deficient equipment so that repairs can be made immediately recommendations for improvements are also submitted to the appropriate departmentsoffices for consideration students who reside in university residence halls receive information about evacuation and shelterinplace procedures during their first floor meetings and during other educational sessions they can participate in throughout the year university housing staff members are trained in these procedures as well and act as an ongoing resource for the students living in residential facilities shelterinplace procedures what it means to shelterinplace there may be emergencies that arise that do not afford individuals the opportunity to safety evacuate during these types of emergency situations shelteringinplace may be necessary shelteringinplace means to stay inside a known safe area to avoid adverse conditions in an exterior environment examples of emergencies where the shelterinplace option may be necessary andor preferred include severe weather tornado or an active shooter situation this may also include a fire emergency for persons with disabilities that are not able to leave the building on their own or if the elevator is recalled during a fire basic shelterinplace guidance if an incident occurs that does not present a safe opportunity to evacuate find an immediate place of safety and stay there until it is safe to come out this may include locking the doors or barricading the ingressegress points of the area you are occupying it may also include covering the windows to decrease visibility of the occupied area if an incident occurs where a shelterinplace option is not possible leave the area immediately following the evacuation procedures for your building follow the directions of police andor fire personnel if they are on scene of the incident how you will know to shelterinplace a shelterinplace notification may come from several sources including the university of illinois police department via the illinialert emergency notification system the office of public affairs other university employees or other authorities utilizing the universitys emergency communications tools how to shelter inplace if an incident occurs where shelteringinplace is the best option follow these steps unless instructed otherwise by emergency personnel these steps should only be followed if safe to do so once aware of the emergency seek or remain in a location deemed safe from the affected area once within a safe area attempt to secure the space in whatever reasonable manner is applicable stay in the area of safety and remain quiet unless making noise would be beneficial to your safety ie rescue or recovery stay away from objects which may lead to an injury do not leave the area of safety until you are notified that the emergency is no longer a threat to personal safety the division of public safety hopes this information is useful to all those who work study and visit our campus community best wishes for a safe and productive year lieutenant todd short university of illinois police department office of campus emergency planning,annual test of emergency responseevacuation plans,04,2011,Nov,Friday
20111103105336-025750,my dear colleagues the last day of the campus charitable fund drive is friday november as the deadline approaches i encourage you to please consider strengthening our community by making a new pledge or increasing your pledge from last year i have found it very easy to participate go to and follow the easy steps for more assistance or to learn about where your money can really make an impact please contact your unit leader i want to thank all of you who have contributed to the many wonderful nonprofit agencies we are blessed to have in the area as well as our dynamic chair nick glumac the entire ccfd advisory board and the campus unit leaders time and time again i have witnessed how a small act of generosity by one person can effect a big change in the lives of many what we do really matters with gratitude phyllis m wise vice president university of illinois chancellor university of illinois at urbanachampaign,campus charitable fund drive,08,2011,Nov,Tuesday
